State,District,Crude Birth Rate (CBR)-2010-11,Crude Birth Rate (CBR)-2011-12,Crude Birth Rate (CBR)-Change in points,Crude Death Rate (CDR)-2010-11,Crude Death Rate (CDR)-2011-12,Crude Death Rate (CDR)-Change in points,Infant Mortality rate (IMR)-2010-11,Infant Mortality rate (IMR)-2011-12,Infant Mortality rate (IMR)-Change in points,Neo- natal Mortality Rate-2010-11,Neo- natal Mortality Rate-2011-12,Neo- natal Mortality Rate-Change in points,Under Five Mortality Rate-2010-11,Under Five Mortality Rate-2011-12,Under Five Mortality Rate-Change in points,Maternal Mortality Rate (MMR)-2010-11,Maternal Mortality Rate (MMR)-2011-12,Maternal Mortality Rate (MMR)-Change in points,Sex Ratio at Birth (SRB)-2010-11,Sex Ratio at Birth (SRB)-2011-12,Sex Ratio at Birth (SRB)-Change in points,Sex Ratio (0-4 Years)-2010-11,Sex Ratio (0-4 Years)-2011-12,Sex Ratio (0-4 Years)-Change in points,Sex Ratio (Total)-2010-11,Sex Ratio (Total)-2011-12,Sex Ratio (Total)-Change in points
Uttar Pradesh,Allahabad,26.6,25.7,-0.9,9.9,9.4,-0.5,88,87,-1,64,64,0,115,112,-3,442,366,-76,920,909,11,957,963,-6,1012,1013,-1
Uttar Pradesh,Ambedkar Nagar,25.2,24.5,-0.7,9.9,9.2,-0.7,72,67,-5,55,49,-6,90,81,-9,451,437,-14,906,909,-3,935,937,-2,1114,1113,1
Uttar Pradesh,Auraiya,24.7,24.1,-0.6,8.9,8.7,-0.2,58,58,0,41,41,0,86,85,-1,267,250,-17,850,853,-3,880,877,3,873,877,-4
Uttar Pradesh,Azamgarh,24.4,23.9,-0.5,9.9,9.3,-0.6,79,75,-4,60,57,-3,95,90,-5,385,345,-40,853,866,-13,900,908,-8,1097,1098,-1
Uttar Pradesh,Baghpat,22.8,22.5,-0.3,9.4,9.6,0.2,54,54,0,35,36,1,72,73,1,255,203,-52,935,953,-18,903,870,33,863,858,5
Uttar Pradesh,Bahraich,32.2,31.8,-0.4,7.6,8,0.4,66,65,-1,45,44,-1,101,100,-1,434,367,-67,960,964,-4,962,963,-1,891,896,-5
Uttar Pradesh,Ballia,24.1,23.7,-0.4,8.3,7.9,-0.4,72,69,-3,54,52,-2,90,84,-6,385,345,-40,834,845,-11,860,866,-6,978,981,-3
Uttar Pradesh,Balrampur,36.3,35.6,-0.7,11.2,10.6,-0.6,93,89,-4,64,61,-3,128,123,-5,434,367,-67,962,963,-1,941,944,-3,1039,1039,0
Uttar Pradesh,Banda,27.7,27.5,-0.2,9.5,9.3,-0.2,60,55,-5,36,34,-2,95,91,-4,306,287,-19,904,902,2,895,896,-1,925,924,1
Uttar Pradesh,Barabanki,26,25.5,-0.5,7.6,7.7,0.1,71,71,0,55,55,0,95,96,1,451,437,-14,930,926,4,922,923,-1,893,895,-2
Uttar Pradesh,Bareilly,27,26.1,-0.9,9.1,8.8,-0.3,78,78,0,49,51,2,107,105,-2,437,331,-106,950,986,-36,934,941,-7,887,888,-1
Uttar Pradesh,Basti,27.6,27,-0.6,11.3,11.1,-0.2,84,81,-3,62,60,-2,109,106,-3,412,403,-9,874,888,-14,893,900,-7,1062,1065,-3
Uttar Pradesh,Bijnor,24.5,24,-0.5,7.9,7.8,-0.1,62,60,-2,44,45,1,78,77,-1,339,282,-57,831,834,-3,883,889,-6,959,962,-3
Uttar Pradesh,Budaun,30.9,30.7,-0.2,9.3,9.3,0,91,88,-3,58,64,6,112,109,-3,437,331,-106,841,824,17,903,922,-19,912,914,-2
Uttar Pradesh,Bulandshahr,26.3,26.4,0.1,9.4,9.1,-0.3,67,68,1,44,47,3,92,92,0,255,203,-52,973,980,-7,917,918,-1,912,913,-1
Uttar Pradesh,Chandauli,26.4,25.8,-0.6,10.1,9.5,-0.6,81,79,-2,60,58,-2,108,103,-5,346,343,-3,928,931,-3,941,951,-10,986,988,-2
Uttar Pradesh,Chitrakoot,25.1,24.6,-0.5,8.9,8.6,-0.3,69,69,0,49,48,-1,125,122,-3,306,287,-19,935,933,2,928,928,0,909,910,-1
Uttar Pradesh,Deoria,26.6,25.9,-0.7,11,10.3,-0.7,75,70,-5,59,55,-4,93,86,-7,354,315,-39,981,982,-1,958,958,0,1171,1172,-1
Uttar Pradesh,Etah,28.4,27.9,-0.5,7.8,7.8,0,73,71,-2,50,51,1,93,90,-3,371,314,-57,934,893,41,934,916,18,887,888,-1
Uttar Pradesh,Etawah,22.8,22.5,-0.3,8.5,8.2,-0.3,55,56,1,42,41,-1,83,83,0,267,250,-17,875,873,2,882,882,0,857,858,-1
Uttar Pradesh,Faizabad,25.5,24.9,-0.6,11.7,11,-0.7,98,94,-4,72,70,-2,129,124,-5,451,437,-14,821,846,-25,873,884,-11,1011,1012,-1
Uttar Pradesh,Farrukhabad,26.9,26,-0.9,7.7,7.6,-0.1,79,78,-1,56,55,-1,99,97,-2,267,250,-17,882,884,-2,882,880,2,869,869,0
Uttar Pradesh,Fatehpur,23.9,23.3,-0.6,7.3,7.2,-0.1,56,57,1,38,37,-1,81,79,-2,442,366,-76,901,895,6,891,890,1,918,920,-2
Uttar Pradesh,Firozabad,26.1,25.7,-0.4,9.4,9.3,-0.1,62,60,-2,40,38,-2,87,85,-2,281,167,-114,823,821,2,834,833,1,897,893,4
Uttar Pradesh,Gautam Buddha Ngr,24,23.9,-0.1,6.2,6.1,-0.1,56,57,1,35,36,1,68,69,1,255,203,-52,838,853,-15,838,829,9,834,835,-1
Uttar Pradesh,Ghaziabad,21.6,21.3,-0.3,7.2,6.9,-0.3,52,50,-2,35,33,-2,66,63,-3,255,203,-52,894,908,-14,884,875,9,863,861,2
Uttar Pradesh,Ghazipur,24.1,23.4,-0.7,9.4,8.8,-0.6,82,81,-1,66,67,1,102,96,-6,346,343,-3,937,955,-18,940,948,-8,1060,1061,-1
Uttar Pradesh,Gonda,27.1,27.3,0.2,7.8,8.2,0.4,72,71,-1,53,54,1,97,96,-1,434,367,-67,940,941,-1,931,933,-2,902,906,-4
Uttar Pradesh,Gorakhpur,25.1,24.3,-0.8,8.7,8.2,-0.5,61,62,1,44,46,2,82,81,-1,354,315,-39,914,913,1,912,918,-6,1072,1071,1
Uttar Pradesh,Hamirpur,24,23.6,-0.4,7.1,6.8,-0.3,48,45,-3,28,26,-2,65,63,-2,306,287,-19,913,911,2,919,916,3,858,862,-4
Uttar Pradesh,Hardoi,27.9,27.5,-0.4,9.2,9.3,0.1,80,81,1,53,53,0,113,115,2,330,346,16,983,981,2,931,931,0,875,877,-2
Uttar Pradesh,Hathras,24.1,23.7,-0.4,8.8,8.8,0,57,61,4,38,40,2,82,82,0,371,314,-57,870,871,-1,874,872,2,868,868,0
Uttar Pradesh,Jalaun,22.7,22.5,-0.2,8.4,8.5,0.1,65,66,1,46,46,0,96,96,0,241,207,-34,955,937,18,908,906,2,877,881,-4
Uttar Pradesh,Jaunpur,22.7,22.5,-0.2,8.5,8.2,-0.3,78,76,-2,60,60,0,101,96,-5,346,343,-3,864,862,2,912,916,-4,1025,1027,-2
Uttar Pradesh,Jhansi,19.6,19,-0.6,6.9,6.7,-0.2,42,42,0,33,30,-3,61,60,-1,241,207,-34,847,852,-5,871,871,0,873,875,-2
Uttar Pradesh,Jyotiba Phule Nagar,26.5,26.4,-0.1,8,8.1,0.1,66,73,7,45,55,10,85,92,7,339,282,-57,835,839,-4,866,860,6,932,930,2
Uttar Pradesh,Kannauj,23.8,23.5,-0.3,9.3,9.4,0.1,78,81,3,55,56,1,99,102,3,267,250,-17,894,905,-11,912,916,-4,886,888,-2
Uttar Pradesh,Kanpur Dehat,20.2,19.5,-0.7,8.9,8.8,-0.1,65,65,0,43,40,-3,97,96,-1,267,250,-17,955,956,-1,962,962,0,875,874,1
Uttar Pradesh,Kanpur Nagar,18,17.3,-0.7,6.1,6,-0.1,36,37,1,24,24,0,52,50,-2,267,250,-17,889,889,0,899,898,1,871,874,-3
Uttar Pradesh,Kaushambi,30,29.2,-0.8,11.4,10.8,-0.6,83,83,0,59,61,2,128,126,-2,442,366,-76,859,865,-6,894,907,-13,1026,1028,-2
Uttar Pradesh,Kheri,27.4,26.7,-0.7,8.4,8.1,-0.3,79,78,-1,54,54,0,117,116,-1,330,346,16,924,922,2,911,910,1,885,888,-3
Uttar Pradesh,Kushinagar,30.2,29.4,-0.8,10.1,9.6,-0.5,83,80,-3,62,62,0,106,99,-7,354,315,-39,915,918,-3,941,949,-8,1130,1134,-4
Uttar Pradesh,Lalitpur,27.3,26.9,-0.4,7.9,7.8,-0.1,73,72,-1,53,53,0,114,113,-1,241,207,-34,931,926,5,906,904,2,885,889,-4
Uttar Pradesh,Lucknow,18.8,18.4,-0.4,6.8,6.5,-0.3,45,44,-1,27,27,0,60,57,-3,330,346,16,874,874,0,886,886,0,895,898,-3
Uttar Pradesh,Maharajganj,29,28.2,-0.8,10.5,9.8,-0.7,87,84,-3,69,66,-3,110,105,-5,354,315,-39,916,927,-11,965,975,-10,1127,1130,-3
Uttar Pradesh,Mahoba,25.6,24.7,-0.9,7.4,7.2,-0.2,48,47,-1,33,32,-1,71,70,-1,306,287,-19,886,874,12,860,861,-1,885,887,-2
Uttar Pradesh,Mainpuri,23.8,23.7,-0.1,10.2,10.4,0.2,54,54,0,32,34,2,79,82,3,281,167,-114,956,1006,-50,904,897,7,883,877,6
Uttar Pradesh,Mathura,22.7,22.7,0,7.8,7.7,-0.1,46,45,-1,35,34,-1,61,60,-1,281,167,-114,790,816,-26,838,872,-34,873,873,0
Uttar Pradesh,Mau,22.3,21.4,-0.9,9,8.6,-0.4,76,76,0,58,60,2,97,93,-4,385,345,-40,863,885,-22,917,927,-10,1035,1031,4
Uttar Pradesh,Meerut,24.6,24.3,-0.3,6.4,6.4,0,56,52,-4,35,33,-2,66,62,-4,255,203,-52,842,851,-9,865,864,1,896,899,-3
Uttar Pradesh,Mirzapur,22.2,21.7,-0.5,8.7,8.5,-0.2,83,81,-2,60,59,-1,111,110,-1,308,237,-71,852,870,-18,873,881,-8,963,963,0
Uttar Pradesh,Moradabad,25.8,25.4,-0.4,8,8.2,0.2,65,65,0,44,46,2,82,83,1,339,282,-57,1030,1050,-20,975,940,35,901,900,1
Uttar Pradesh,Muzaffarnagar,24.2,23.8,-0.4,9,8.9,-0.1,54,55,1,36,39,3,72,74,2,337,234,-103,870,871,-1,870,861,9,885,886,-1
Uttar Pradesh,Pilibhit,25.8,25.7,-0.1,8.7,9,0.3,74,74,0,54,53,-1,95,95,0,437,331,-106,935,948,-13,926,932,-6,886,889,-3
Uttar Pradesh,Pratapgarh,24.9,24.3,-0.6,10.4,10,-0.4,88,85,-3,66,63,-3,113,109,-4,442,366,-76,940,952,-12,985,1003,-18,1134,1138,-4
Uttar Pradesh,Rae Bareli,22.6,22.1,-0.5,7.9,7.9,0,55,53,-2,33,33,0,81,78,-3,330,346,16,893,889,4,912,912,0,946,947,-1
Uttar Pradesh,Rampur,25.6,25.3,-0.3,9.2,9.3,0.1,64,64,0,47,47,0,92,91,-1,339,282,-57,875,883,-8,925,919,6,906,906,0
Uttar Pradesh,Saharanpur,26.6,26.3,-0.3,9.2,8.9,-0.3,78,79,1,54,57,3,99,103,4,337,234,-103,899,906,-7,921,917,4,917,918,-1
Uttar Pradesh,Sant Kabir Nagar,31.1,30.4,-0.7,10.7,10.1,-0.6,65,62,-3,49,48,-1,97,93,-4,412,403,-9,899,898,1,982,985,-3,1169,1173,-4
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,25.3,24.3,-1,7.5,7.3,-0.2,80,81,1,58,59,1,109,107,-2,308,237,-71,858,870,-12,895,910,-15,991,995,-4
Uttar Pradesh,Shahjahanpur,28.5,28.4,-0.1,8,7.9,-0.1,87,82,-5,63,58,-5,106,101,-5,437,331,-106,887,904,-17,918,917,1,853,851,2
Uttar Pradesh,Shrawasti,40.9,40.2,-0.7,12.6,12.2,-0.4,103,100,-3,73,70,-3,142,135,-7,434,367,-67,871,883,-12,891,900,-9,979,982,-3
Uttar Pradesh,Siddharthnagar,38,37.6,-0.4,11.4,11.3,-0.1,91,87,-4,70,69,-1,121,118,-3,412,403,-9,927,915,12,954,950,4,1173,1173,0
Uttar Pradesh,Sitapur,28.4,28,-0.4,9,8.8,-0.2,82,80,-2,57,54,-3,120,116,-4,330,346,16,995,994,1,983,982,1,881,881,0
Uttar Pradesh,Sonbhadra,28.7,28,-0.7,9.2,8.9,-0.3,62,68,6,45,49,4,96,99,3,308,237,-71,972,952,20,945,945,0,953,951,2
Uttar Pradesh,Sultanpur,22.8,22,-0.8,7.4,7.5,0.1,48,46,-2,29,30,1,68,67,-1,451,437,-14,953,938,15,941,940,1,985,984,1
Uttar Pradesh,Unnao,21.8,21.2,-0.6,7.1,6.9,-0.2,59,58,-1,39,36,-3,84,83,-1,330,346,16,940,937,3,931,928,3,884,888,-4
Uttar Pradesh,Varanasi,19.9,19.3,-0.6,8.1,7.7,-0.4,78,76,-2,53,54,1,101,97,-4,346,343,-3,810,820,-10,841,850,-9,918,920,-2
Uttarakhand,Uttarakhand Total,18.6,18.2,-0.4,6.6,6.4,-0.2,43,41,-2,30,29,-1,53,50,-3,188,162,-26,866,866,0,877,880,-3,992,995,-3
Uttarakhand,Almora,16.3,16,-0.3,6.1,5.9,-0.2,20,20,0,13,14,1,25,25,0,183,181,-2,874,876,-2,896,900,-4,1131,1140,-9
Uttarakhand,Bageshwar,14.7,14.5,-0.2,7.2,7,-0.2,31,31,0,19,19,0,39,38,-1,183,181,-2,823,827,-4,880,880,0,1089,1097,-8
Uttarakhand,Chamoli,17.7,17.4,-0.3,5.3,5.2,-0.1,27,27,0,18,19,1,30,30,0,190,155,-35,857,859,-2,879,880,-1,1045,1050,-5
Uttarakhand,Champawat,17.3,17,-0.3,5.4,5.5,0.1,37,35,-2,25,24,-1,44,42,-2,183,181,-2,880,880,0,888,885,3,1017,1019,-2
Uttarakhand,Dehradun,17.9,17.1,-0.8,6.9,6.6,-0.3,37,37,0,25,27,2,45,44,-1,190,155,-35,836,853,-17,865,878,-13,944,947,-3
Uttarakhand,Haridwar,22.7,22.1,-0.6,7.9,7.5,-0.4,72,67,-5,50,46,-4,94,84,-10,190,155,-35,870,869,1,847,851,-4,881,883,-2
Uttarakhand,Nainital,16.8,16.8,0,5.5,5.4,-0.1,31,30,-1,21,21,0,38,37,-1,183,181,-2,918,916,2,882,886,-4,910,915,-5
Uttarakhand,Pauri Garhwal,19.9,19.2,-0.7,8.4,8,-0.4,43,41,-2,29,28,-1,51,48,-3,190,155,-35,885,870,15,912,908,4,1134,1136,-2
Uttarakhand,Pithoragarh,14.7,15,0.3,6,6,0,20,20,0,12,12,0,24,23,-1,183,181,-2,764,766,-2,817,819,-2,1067,1067,0
Uttarakhand,Rudraprayag,16.4,16.6,0.2,6,5.9,-0.1,19,20,1,11,12,1,26,28,2,190,155,-35,861,855,6,894,897,-3,1194,1197,-3
Uttarakhand,Tehri Garhwal,22.4,21.6,-0.8,9.3,8.8,-0.5,61,58,-3,43,41,-2,76,70,-6,190,155,-35,890,877,13,922,916,6,1220,1221,-1
Uttarakhand,Udham Singh Nagar,18.6,18.5,-0.1,5.4,5.4,0,37,36,-1,28,27,-1,44,43,-1,183,181,-2,867,868,-1,877,877,0,904,909,-5
Uttarakhand,Uttarkashi,16.1,15.7,-0.4,4.6,4.6,0,38,42,4,23,26,3,47,49,2,190,155,-35,868,871,-3,921,928,-7,996,999,-3
